"","compustats_tic","crsp_tic"
"1","AAL","AMR"
"2","ABT","ABT"
"3","AMT.1","AMT"
"4","AMD","AMD"
"5","AET","AET"
"6","AHM.1","AHM"
"7","APD","APD"
"8","ACV.1","ACV"
"9","ABS.1","ABS"
"10","AL.1","AL"
"11","IKN","ASN"
"12","AAL.1","AAL"
"13","HON","ALD"
"14","AA.3","AA"
"15","AMX.2","AMX"
"16","HES","AHC"
"17","AMH.1","AMH"
"18","BEAM.2","AMB"
"19","ACY.1","ACY"
"20","AEP","AEP"
"21","AXP","AXP"
"22","AGC.1","AGC"
"23","AM.1","AGREA"
"24","WYE","AHP"
"25","AIT.1","AIT"
"26","AIG","AIG"
"27","ASC.1","ASC"
"28","T.2","T"
"29","AMP.2","AMP"
"30","AN.2","AN"
"31","ANDW","ANDW"
"32","BUD.2","BUD"
"33","AAPL","AAPL"
"34","ADM","ADM"
"35","CNP2","ALG"
"36","AS.","AS"
"37","3ACKH","ACK"
"38","AR.2","AR"
"39","ASH","ASH"
"40","ARC.3","ARC"
"41","ADSK","ACAD"
"42","ADP","AUD"
"43","AVY","AVY"
"44","AVP","AVP"
"45","BHI","BHI"
"46","BLL","BLL"
"47","BLY","BLY"
"48","CEG","BGE"
"49","ONE.1","ONE"
"50","BKB.2","BKB"
"51","BAC.Z.","BAC"
"52","BT.2","BT"
"53","BCR","BCR"
"54","BBI.2","BBI"
"55","BSET","BSET"
"56","6583B","BOL"
"57","BAX","BAX"
"58","BDX","BDX"
"59","VZ","BEL"
"60","BLS","BLS"
"61","BMS","BMS"
"62","BNL.1","BNL"
"63","3BHMSQ","BS"
"64","BEV","BEV"
"65","BDK","BDK"
"66","HRB","HRB"
"67","BA","BA"
"68","OMX","BCC"
"69","0141A","BN"
"70","BGG","BGG"
"71","BMY","BMY"
"72","BNSSA","BNS"
"73","BF.B","BF"
"74","CAL","BG"
"75","BFI.","BFI"
"76","BC","BC"
"77","BRK3","BNI"
"78","UIS","UIS"
"79","CBS.1","CBS"
"80","CI","CI"
"81","CNA","CNA"
"82","BFO.2","CPC"
"83","CSX","CSX"
"84","CPB","CPB"
"85","CCB.2","CCB"
"86","DUK8","CPL"
"87","BWY.1","CHH"
"88","CAT","CAT"
"89","CTX.2","CTX"
"90","CSR.1","CSR"
"91","CHA.3","CHA"
"92","CHRS.1","CHRS"
"93","CMB.1","CMB"
"94","JPM","CHL"
"95","CVX","CHV"
"96","C.3","C"
"97","CB.1","CB"
"98","MZIAQ","CMZ"
"99","CCTYQ","CC"
"100","3614B","CCI"
"101","CKL","CKL"
"102","CLX","CLX"
"103","EP2","CGP"
"104","KO","KO"
"105","CL","CL"
"106","NI2","CG"
"107","CMCSA","CMCSK"
"108","C","PA"
"109","UCM.2","CWE"
"110","THY","CMY"
"111","CPQ.2","CPQ"
"112","CA","CA"
"113","DXC","CSC"
"114","CAG","CAG"
"115","ED","ED"
"116","CNW","CNF"
"117","D2","CNG"
"118","CRR.3","CRR"
"119","CIC.3","CIC"
"120","4622B","CDA"
"121","CBE","CBE"
"122","TAP","ACCOB"
"123","GLW","GLW"
"124","CBL.1","CBL"
"125","CR","CR"
"126","CYR.1","CYR"
"127","CTCO.1","CTCO"
"128","CCK","CCK"
"129","CMI","CUM"
"130","DIGI.1","DIGI"
"131","DAN","DCN"
"132","DGN.","DGN"
"133","CTLE.","DPT"
"134","TGT","DH"
